10
0	4	-1	1	1	-3	-4	-3	1	-4
10
0	3100	3000	1200	7200	1100	1300	2800	2000	3500
3100	1e+009	2500	2700	6800	2200	2300	1500	3200	4300
1800	3000	1e+009	3000	5200	2900	3100	2400	1800	1800
2100	3200	3100	1e+009	7300	1200	1400	2900	2100	3600
7500	7700	6500	8700	1e+009	8600	8800	7400	7500	8300
2900	2000	2800	800	6800	1e+009	200	1700	2900	4400
2800	1800	2700	1200	6600	1300	1e+009	1600	2800	4300
2500	2000	1900	2800	5800	2300	2500	1e+009	2500	3700
2400	1900	1800	1800	5900	1900	2000	1600	1e+009	3500
3300	4500	2600	4200	7100	3400	3600	3800	3300	1e+009
